Acessibilidade			        :wheelchair:	        acess
Adicionando um teste		    :white_check_mark:	    test -a
Adicionando uma dependência	    :heavy_plus_sign:	    build
Alterações de revisão de código	:ok_hand:		        style
Animações e transições		    :dizzy:			        anim
Bugfix				            :bug:			        fix
Comentários			            :bulb:			        docs
Commit inicial			        :tada:			        init
Configuração			        :wrench:		        config
Deploy				            :rocket:		        deploy
Documentação			        :books:			        docs
Em progresso			        :construction:		    progress
Estilização de interface	    :lipstick:		        ui
Infraestrutura			        :bricks:		        ci
Lista de ideias (tasks)		    :soon:			        todo
Mover/Renomear			        :truck:			        move
Novo recurso			        :sparkles:		        feat
Package.json em JS		        :package:		        package
Performance			            :zap:			        perf
Refatoração			            :recycle:		        refactor
Removendo um arquivo		    :fire:			        remove -f
Removendo uma dependência	    :heavy_minus_sign:	    remove -d
Responsividade			        :iphone:		        resp_
Revertendo mudanças		        :boom:			        revert
Segurança			            :lock:			        sec
SEO				                :mag:			        seo
Tag de versão			        :bookmark:		        tag
Teste de aprovação		        :heavy_check_mark:	    approve
Testes				            :test_tube:		        test -t
Texto				            :pencil:		        text
Tipagem				            :label:			        type
Tratamento de erros		        :goal_net:		        error
